full_name,id,name,is_fork,owner,owner_url,repo_url,stars,forks,watchers,language,description,open_issues,license_name,topics,default_branch,pushed_at,created_at,updated_at
1f1n/Dragon,852280131,Dragon,False,1f1n,https://github.com/1f1n,https://github.com/1f1n/Dragon,114,22,114,Python,The all-in-one tool to help you find profitable wallets on Solana and Ethereum.,2,,,main,2025-02-21 01:22:30+00:00,2024-09-04 14:37:50+00:00,2025-02-21 01:22:34+00:00
cocrafts/walless,601088814,walless,False,cocrafts,https://github.com/cocrafts,https://github.com/cocrafts/walless,29,14,29,TypeScript,"Making crypto wallets easily accessible, understandable and integrated into web2 and web3 sites and applications.",14,MIT License,"blockchain, crypto, ethereum, nft, non-custodial, solana, sui, token, wallet, web3",main,2024-09-11 16:02:45+00:00,2023-02-13 10:47:20+00:00,2024-12-15 09:04:13+00:00
Norinthkm/Mev-Bot_SOLANA,934581254,Mev-Bot_SOLANA,False,Norinthkm,https://github.com/Norinthkm,https://github.com/Norinthkm/Mev-Bot_SOLANA,191,202,191,JavaScript,"⭐ A powerful Solana MEV bot designed for both browser and local use. It scans transactions in real time, identifies profitable opportunities across Pump.FUN, Jupiter, and Raydium, and executes trades with precision. Fully automated, fast, and optimized for maximum efficiency.",0,MIT License,"blockchain, bot, crypto-bot, decentralized-exchanges, dex, ethereum, javascript, liquidity-sniping, mempool, mev, mev-bots, nodejs, smart-contracts, solana, solidity",main,2025-02-22 02:37:44+00:00,2025-02-18 04:20:31+00:00,2025-02-22 02:37:48+00:00
fabianbormann/WalkInWallet,589713842,WalkInWallet,False,fabianbormann,https://github.com/fabianbormann,https://github.com/fabianbormann/WalkInWallet,10,5,10,TypeScript,WalkInWallet | The NFT Gallery App,1,GNU General Public License v3.0,"3d, babylonjs, cardano, koios, nft-gallery, nfts, wallet",main,2024-09-15 18:00:46+00:00,2023-01-16 19:04:54+00:00,2024-09-15 18:00:50+00:00
danbayk/solana-copytrade,863824706,solana-copytrade,False,danbayk,https://github.com/danbayk,https://github.com/danbayk/solana-copytrade,30,8,30,JavaScript,Solana copy-trade program utilizing gRPC and Jito-Solana,2,,,master,2024-09-27 01:58:44+00:00,2024-09-27 01:37:12+00:00,2025-02-21 02:39:36+00:00
persistenceOne/persistenceWallet,349049682,persistenceWallet,False,persistenceOne,https://github.com/persistenceOne,https://github.com/persistenceOne/persistenceWallet,8,20,8,JavaScript,progressive web wallet for persistence chain,45,,"blockchain, tendermint, wallet",main,2024-09-11 08:48:50+00:00,2021-03-18 11:35:44+00:00,2024-09-11 08:48:19+00:00
xch-dev/sage,849678010,sage,False,xch-dev,https://github.com/xch-dev,https://github.com/xch-dev/sage,37,19,37,Rust,The sagest wallet for the Chia blockchain.,63,Apache License 2.0,"chia, chia-blockchain, wallet",main,2025-02-20 18:39:53+00:00,2024-08-30 03:23:11+00:00,2025-02-20 18:39:57+00:00
solanabots/Solana-Twitter-Bot,845941824,Solana-Twitter-Bot,False,solanabots,https://github.com/solanabots,https://github.com/solanabots/Solana-Twitter-Bot,23,6,23,Python,Solana token sniper fetching twitter account posts ,1,,"moonshot, pumpfun, raydium, sniper, solana, token, twitter, x",main,2024-09-01 06:55:41+00:00,2024-08-22 08:23:26+00:00,2025-02-14 01:15:27+00:00
chmajidnaeem/blockchain-bitcoin,818213132,blockchain-bitcoin,False,chmajidnaeem,https://github.com/chmajidnaeem,https://github.com/chmajidnaeem/blockchain-bitcoin,8,14,8,TypeScript,,0,,,master,2024-11-12 17:33:19+00:00,2024-06-21 10:46:29+00:00,2024-12-05 15:33:35+00:00
asseph/solana-ai-agent,920661975,solana-ai-agent,False,asseph,https://github.com/asseph,https://github.com/asseph/solana-ai-agent,36,34,36,TypeScript,"AI Agent is a groundbreaking AI agent built on the Solana, integrating advanced artificial intelligence with social media capabilities and decentralized trading. An evolving digital entity striving to bridge the gap between AI, social media, and crypto.",0,,"ai-agent, blockchain, solana, trends, twitter, ai, langchain, web3",main,2025-01-23 08:18:36+00:00,2025-01-22 14:57:38+00:00,2025-02-20 13:01:06+00:00
